filename,CA1,CA1.1,CA1.2,CA1.3,CA1.4,CA1.5,CA1.6,CA1.7,CA2,ORG1,ORG2,ORG2.2,ORG2.3,ORG2.4,ORG2.5,ORG3,VOC1,VOC2,VOC3,GR1,GR2,GR3,UNIQ_WORDS,OR_ERR,CLQ_WORDS,CLC_ERRORS,prop_a1,prop_a2,prop_b1,prop_b2,prop_c1,prop_c2
531.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6944444444444444,0.0,0.0,0.2571428571428571,0.23809523809523808,0.3333333333333333,0.09523809523809523,0.2857142857142857,0.047619047619047616,0.0
523.txt,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6808510638297872,0.6666666666666666,0.0,0.28431372549019607,0.48,0.2,0.16,0.12,0.04,0.0
404.txt,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.75,0.5,0.0,0.14772727272727273,0.35714285714285715,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0
100.txt,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0.5,0,0,0,0,0.8888888888888888,0.25,0.0,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0
355.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.73,0.0,0.0,0.2543103448275862,0.3389830508474576,0.2711864406779661,0.11864406779661017,0.1864406779661017,0.0847457627118644,0.0
828.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.725,0.09090909090909091,0.0,0.2570093457943925,0.37735849056603776,0.1509433962264151,0.16981132075471697,0.20754716981132076,0.09433962264150944,0.0
448.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.79,0.0,0.0,0.3333333333333333,0.34782608695652173,0.17391304347826086,0.13043478260869565,0.21739130434782608,0.13043478260869565,0.0
617.txt,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.7454545454545455,0.16666666666666666,0.0,0.18584070796460178,0.2727272727272727,0.3333333333333333,0.15151515151515152,0.24242424242424243,0.0,0.0
395.txt,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0.5,0,0,0,0,0.7037037037037037,0.3333333333333333,0.0,0.1744186046511628,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0
684.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.7446808510638298,0.16666666666666666,0.0,0.24489795918367346,0.3793103448275862,0.3103448275862069,0.20689655172413793,0.10344827586206896,0.0,0.0
772.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7373737373737373,0.0,0.0,0.23170731707317074,0.25,0.359375,0.109375,0.234375,0.046875,0.0
